loc1,loc2,loc3,loc4,loc5
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
77,111.65,146.3,180.95,215.6
